2193.370166	0.090410959
2132.596685	0.094520548
2060.773481	0.096575342
1972.375691	0.100684932
1900.552486	0.104794521
1823.20442	0.106849315
1740.331492	0.10890411
1662.983425	0.113013699
1574.585635	0.117123288
1491.712707	0.121232877
1414.364641	0.12739726
1325.966851	0.133561644
1243.093923	0.137671233
1149.171271	0.141780822
1077.348066	0.145890411
1011.049724	0.15
950.2762431	0.154109589
883.9779006	0.160273973
817.679558	0.166438356
756.9060773	0.170547945
701.6574586	0.176712329
635.359116	0.182876712
580.1104972	0.189041096
524.8618785	0.197260274
464.0883978	0.207534247
419.8895028	0.215753425
370.1657459	0.228082192
314.9171271	0.248630137
270.718232	0.263013699
226.519337	0.285616438
204.4198895	0.302054795
176.7955801	0.32260274
149.1712707	0.345205479
132.5966851	0.359589041
116.0220994	0.378082192
99.44751381	0.392465753
82.87292818	0.410958904
66.29834254	0.431506849
55.24861878	0.45
44.19889503	0.468493151
33.14917127	0.49109589
27.62430939	0.511643836
16.57458564	0.528082192
0	0.542465753
